                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.29858,                0.25985,                0.86334,                0.98442,                      1,                  0.995,                0.81283,                0.81592,                0.36389,                 1.3181,              0.0040105,              0.0040105,              0.0040105
                    123,                0.30874,                0.24858,                0.88553,                0.97703,                   0.95,                0.99045,                0.78641,                0.87677,                0.39675,                 1.3692,               0.003961,               0.003961,               0.003961
                    124,                0.36417,                0.30327,                0.90985,                0.90871,                0.99563,                0.98545,                0.78235,                0.84811,                0.39635,                 1.3442,              0.0039115,              0.0039115,              0.0039115
                    125,                0.30203,                0.25021,                0.88865,                0.90843,                0.99232,                0.98328,                0.77726,                0.85158,                0.40779,                 1.3492,               0.003862,               0.003862,               0.003862
                    126,                0.32233,                0.25347,                0.90318,                0.90894,                      1,                0.98545,                0.77434,                0.89322,                0.37921,                 1.3823,              0.0038125,              0.0038125,              0.0038125
                    127,                0.32598,                0.24789,                 0.8705,                0.95203,                      1,                0.99024,                0.78911,                0.83531,                0.35332,                 1.3582,               0.003763,               0.003763,               0.003763
                    128,                0.30017,                0.23774,                 0.8668,                0.95195,                0.99101,                0.99262,                0.79451,                0.85828,                0.36863,                 1.3955,              0.0037135,              0.0037135,              0.0037135
                    129,                0.34179,                0.27188,                0.87504,                0.94255,                      1,                0.99262,                0.82133,                0.85367,                0.36105,                 1.3916,               0.003664,               0.003664,               0.003664
                    130,                0.29908,                0.25398,                 0.8594,                      1,                0.99214,                  0.995,                0.82316,                0.87905,                0.32908,                 1.4419,              0.0036145,              0.0036145,              0.0036145
                    131,                 0.2969,                0.25246,                0.86222,                 0.9885,                      1,                  0.995,                0.82672,                0.86691,                0.36598,                 1.4169,               0.003565,               0.003565,               0.003565
                    132,                0.31751,                0.23347,                0.85963,                      1,                0.99999,                  0.995,                0.81509,                0.88343,                0.36698,                 1.4406,              0.0035155,              0.0035155,              0.0035155
                    133,                0.27517,                0.22215,                0.85123,                      1,                0.99477,                  0.995,                0.82267,                0.82269,                0.36721,                 1.4105,               0.003466,               0.003466,               0.003466
                    134,                0.31837,                0.25121,                0.86073,                      1,                0.99632,                  0.995,                0.82549,                0.85355,                0.35332,                 1.4451,              0.0034165,              0.0034165,              0.0034165
                    135,                0.31067,                0.23537,                0.86431,                      1,                0.99809,                  0.995,                0.81544,                0.85065,                0.34071,                 1.4436,               0.003367,               0.003367,               0.003367
                    136,                0.29637,                0.25121,                0.84647,                      1,                0.99974,                  0.995,                0.81596,                0.83811,                0.34311,                 1.4304,              0.0033175,              0.0033175,              0.0033175
                    137,                0.32697,                0.25677,                0.88212,                0.99782,                      1,                  0.995,                0.82472,                0.82962,                0.33538,                 1.4153,               0.003268,               0.003268,               0.003268
                    138,                0.29548,                0.22377,                0.85172,                0.99268,                      1,                  0.995,                  0.819,                0.83548,                0.33157,                 1.4334,              0.0032185,              0.0032185,              0.0032185
                    139,                0.29115,                0.23813,                0.86773,                0.99398,                      1,                  0.995,                 0.8264,                0.80098,                0.35834,                 1.4165,               0.003169,               0.003169,               0.003169
                    140,                 0.2741,                0.26415,                0.86232,                0.99474,                      1,                  0.995,                0.81884,                0.78564,                0.36209,                 1.3951,              0.0031195,              0.0031195,              0.0031195
                    141,                0.26703,                0.21596,                0.84137,                0.99664,                      1,                  0.995,                0.82971,                0.75845,                0.35009,                 1.3985,                0.00307,                0.00307,                0.00307
                    142,                0.28769,                0.22761,                0.86641,                0.99682,                      1,                  0.995,                0.81492,                0.75419,                0.35763,                 1.3748,              0.0030205,              0.0030205,              0.0030205
                    143,                0.29031,                0.22995,                0.85602,                0.99605,                      1,                  0.995,                0.82772,                0.75332,                0.36717,                 1.3675,               0.002971,               0.002971,               0.002971
                    144,                0.29837,                0.24408,                0.86304,                0.99509,                      1,                  0.995,                0.82758,                0.74812,                0.35521,                 1.3619,              0.0029215,              0.0029215,              0.0029215
                    145,                0.28795,                0.23746,                0.85476,                0.99232,                      1,                  0.995,                0.82639,                0.75045,                0.38015,                 1.3695,               0.002872,               0.002872,               0.002872
                    146,                0.27467,                0.21576,                0.86645,                0.95165,                      1,                  0.995,                0.82804,                0.74011,                0.40314,                 1.3478,              0.0028225,              0.0028225,              0.0028225
                    147,                0.25629,                0.21334,                0.83258,                0.90712,                      1,                0.99024,                0.83768,                0.71106,                0.43023,                 1.3236,               0.002773,               0.002773,               0.002773
                    148,                0.29269,                0.23448,                0.87009,                0.90748,                      1,                0.99024,                0.82812,                0.70996,                0.41819,                 1.3224,              0.0027235,              0.0027235,              0.0027235
                    149,                 0.2807,                0.24237,                0.87005,                0.93753,                      1,                0.99024,                0.82021,                0.71972,                0.44704,                 1.3093,               0.002674,               0.002674,               0.002674
                    150,                0.25655,                0.20723,                0.81738,                0.94259,                      1,                0.99024,                0.82744,                0.73117,                0.41832,                 1.3067,              0.0026245,              0.0026245,              0.0026245
                    151,                0.23757,                0.20407,                0.86285,                0.95195,                0.99093,                0.99024,                0.82785,                0.73656,                0.46068,                 1.3066,               0.002575,               0.002575,               0.002575
                    152,                0.28628,                0.22296,                 0.8693,                0.89933,                      1,                0.98795,                0.82948,                0.72403,                0.44752,                  1.287,              0.0025255,              0.0025255,              0.0025255
                    153,                0.28056,                0.23286,                0.86053,                0.95188,                0.98938,                0.99024,                0.82975,                0.72343,                 0.4271,                 1.2852,               0.002476,               0.002476,               0.002476
                    154,                0.25861,                0.20591,                 0.8563,                0.90287,                      1,                0.99045,                0.82834,                  0.714,                0.40016,                 1.2726,              0.0024265,              0.0024265,              0.0024265
                    155,                0.23992,                0.18612,                0.84392,                0.90662,                      1,                0.99045,                0.82894,                0.71791,                0.40218,                 1.2894,               0.002377,               0.002377,               0.002377
                    156,                 0.2588,                0.21329,                0.83153,                0.90736,                      1,                0.99045,                 0.8353,                 0.7141,                0.38927,                 1.2808,              0.0023275,              0.0023275,              0.0023275
                    157,                0.27715,                0.20641,                0.85695,                0.90739,                      1,                0.99045,                0.83096,                0.70243,                0.38372,                 1.2749,               0.002278,               0.002278,               0.002278
                    158,                0.24145,                0.19438,                0.83588,                0.90741,                      1,                0.99045,                0.83714,                0.71141,                0.39508,                 1.2913,              0.0022285,              0.0022285,              0.0022285
                    159,                0.24613,                0.20444,                0.85859,                0.90707,                      1,                0.99045,                0.83739,                0.69545,                0.36731,                 1.2897,               0.002179,               0.002179,               0.002179
                    160,                0.24052,                0.19347,                0.84528,                0.90633,                      1,                0.99045,                0.83192,                0.71928,                0.37999,                  1.323,              0.0021295,              0.0021295,              0.0021295
                    161,                0.22681,                0.19902,                0.82699,                0.90626,                      1,                0.98795,                0.82433,                 0.7273,                0.38309,                 1.3448,                0.00208,                0.00208,                0.00208
